                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8859,                 4.0777,                 1.3852,                0.00326,                0.34574,                0.02276,                0.01255,                 1.5227,                 3.7456,                 1.1652,                 0.0946,                 0.0006,                 0.0006
                      1,                 1.5388,                 3.8518,                 1.2079,                0.00562,                0.53517,                0.03367,                0.02425,                 1.1033,                 3.5857,                0.97139,               0.088287,              0.0012871,              0.0012871
                      2,                 1.3289,                 3.2061,                 1.0778,                0.00618,                0.54422,                0.09706,                0.06819,                 1.0162,                 3.3905,                0.93321,                0.08196,              0.0019604,              0.0019604
                      3,                 1.3099,                 2.0447,                 1.1001,                0.00654,                 0.5687,                0.10539,                0.07378,                 1.0672,                 3.2108,                0.94843,                0.07562,              0.0026198,              0.0026198
                      4,                 1.2704,                 1.8425,                 1.0666,                0.00632,                0.55821,                0.15746,                0.11341,                 1.0553,                 3.2619,                0.96305,               0.069265,              0.0032654,              0.0032654
                      5,                 1.2462,                 1.7464,                 1.0444,                0.00647,                 0.6086,                0.13146,                0.09567,                 1.0344,                 3.1267,                 0.9363,               0.062897,               0.003897,               0.003897
                      6,                 1.2785,                 1.6167,                 1.0793,                0.00714,                0.74311,                0.23792,                 0.1515,                 1.1294,                 3.1936,                0.99655,               0.056515,              0.0045149,              0.0045149
                      7,                 1.2723,                 1.5296,                 1.0475,                0.00772,                  0.797,                0.25956,                   0.15,                 1.0879,                 3.0746,                0.97413,               0.050119,              0.0051188,              0.0051188
                      8,                 1.2954,                 1.4139,                 1.0563,                0.91249,                0.06594,                0.41571,                0.23956,                 1.2143,                 2.8695,                  1.014,               0.043709,               0.005709,               0.005709
                      9,                 1.2316,                 1.4788,                 1.0736,                0.97137,                0.05762,                   0.48,                0.29352,                 1.1564,                 2.7637,                0.94713,               0.037285,              0.0062852,              0.0062852
                     10,                 1.2131,                 1.4406,                 1.0345,                0.82937,                0.08775,                0.52991,                0.30682,                 1.2009,                  2.615,                0.96734,               0.030848,              0.0068476,              0.0068476
                     11,                 1.2598,                 1.3966,                 1.0509,                 0.9066,                0.50582,                0.68196,                0.41376,                 1.1967,                 2.0356,                 1.0016,               0.024396,              0.0073961,              0.0073961
